"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,1601509,"Zimbabwe","ZWE"
1,10,381308,"Zimbabwe","ZWE"
1,2,212265,"Zimbabwe","ZWE"
1,3,190388,"Zimbabwe","ZWE"
1,4,199301,"Zimbabwe","ZWE"
1,5,194133,"Zimbabwe","ZWE"
1,6,238713,"Zimbabwe","ZWE"
1,7,299788,"Zimbabwe","ZWE"
1,8,1185294,"Zimbabwe","ZWE"
1,9,946208,"Zimbabwe","ZWE"
10,1,381308,"Zimbabwe","ZWE"
10,10,3796285,"Zimbabwe","ZWE"
10,2,429177,"Zimbabwe","ZWE"
10,3,351839,"Zimbabwe","ZWE"
10,4,434616,"Zimbabwe","ZWE"
10,5,378351,"Zimbabwe","ZWE"
10,6,604258,"Zimbabwe","ZWE"
10,7,737929,"Zimbabwe","ZWE"
10,8,444911,"Zimbabwe","ZWE"
10,9,510231,"Zimbabwe","ZWE"
2,1,212265,"Zimbabwe","ZWE"
2,10,429177,"Zimbabwe","ZWE"
2,2,648489,"Zimbabwe","ZWE"
2,3,449574,"Zimbabwe","ZWE"
2,4,636046,"Zimbabwe","ZWE"
2,5,606958,"Zimbabwe","ZWE"
2,6,576740,"Zimbabwe","ZWE"
2,7,446016,"Zimbabwe","ZWE"
2,8,285301,"Zimbabwe","ZWE"
2,9,321767,"Zimbabwe","ZWE"
3,1,190388,"Zimbabwe","ZWE"
3,10,351839,"Zimbabwe","ZWE"
3,2,449574,"Zimbabwe","ZWE"
3,3,4332845,"Zimbabwe","ZWE"
3,4,397873,"Zimbabwe","ZWE"
3,5,496257,"Zimbabwe","ZWE"
3,6,389714,"Zimbabwe","ZWE"
3,7,476269,"Zimbabwe","ZWE"
3,8,235384,"Zimbabwe","ZWE"
3,9,310270,"Zimbabwe","ZWE"
4,1,199301,"Zimbabwe","ZWE"
4,10,434616,"Zimbabwe","ZWE"
4,2,636046,"Zimbabwe","ZWE"
4,3,397873,"Zimbabwe","ZWE"
4,4,9446396,"Zimbabwe","ZWE"
4,5,521105,"Zimbabwe","ZWE"
4,6,584175,"Zimbabwe","ZWE"
4,7,399799,"Zimbabwe","ZWE"
4,8,270765,"Zimbabwe","ZWE"
4,9,318504,"Zimbabwe","ZWE"
5,1,194133,"Zimbabwe","ZWE"
5,10,378351,"Zimbabwe","ZWE"
5,2,606958,"Zimbabwe","ZWE"
5,3,496257,"Zimbabwe","ZWE"
5,4,521105,"Zimbabwe","ZWE"
5,5,5745707,"Zimbabwe","ZWE"
5,6,483958,"Zimbabwe","ZWE"
5,7,390792,"Zimbabwe","ZWE"
5,8,257399,"Zimbabwe","ZWE"
5,9,305709,"Zimbabwe","ZWE"
6,1,238713,"Zimbabwe","ZWE"
6,10,604258,"Zimbabwe","ZWE"
6,2,576740,"Zimbabwe","ZWE"
6,3,389714,"Zimbabwe","ZWE"
6,4,584175,"Zimbabwe","ZWE"
6,5,483958,"Zimbabwe","ZWE"
6,6,3608300,"Zimbabwe","ZWE"
6,7,417883,"Zimbabwe","ZWE"
6,8,338081,"Zimbabwe","ZWE"
6,9,365478,"Zimbabwe","ZWE"
7,1,299788,"Zimbabwe","ZWE"
7,10,737929,"Zimbabwe","ZWE"
7,2,446016,"Zimbabwe","ZWE"
7,3,476269,"Zimbabwe","ZWE"
7,4,399799,"Zimbabwe","ZWE"
7,5,390792,"Zimbabwe","ZWE"
7,6,417883,"Zimbabwe","ZWE"
7,7,5614878,"Zimbabwe","ZWE"
7,8,333316,"Zimbabwe","ZWE"
7,9,715880,"Zimbabwe","ZWE"
8,1,1185294,"Zimbabwe","ZWE"
8,10,444911,"Zimbabwe","ZWE"
8,2,285301,"Zimbabwe","ZWE"
8,3,235384,"Zimbabwe","ZWE"
8,4,270765,"Zimbabwe","ZWE"
8,5,257399,"Zimbabwe","ZWE"
8,6,338081,"Zimbabwe","ZWE"
8,7,333316,"Zimbabwe","ZWE"
8,8,13400426,"Zimbabwe","ZWE"
8,9,722214,"Zimbabwe","ZWE"
9,1,946208,"Zimbabwe","ZWE"
9,10,510231,"Zimbabwe","ZWE"
9,2,321767,"Zimbabwe","ZWE"
9,3,310270,"Zimbabwe","ZWE"
9,4,318504,"Zimbabwe","ZWE"
9,5,305709,"Zimbabwe","ZWE"
9,6,365478,"Zimbabwe","ZWE"
9,7,715880,"Zimbabwe","ZWE"
9,8,722214,"Zimbabwe","ZWE"
9,9,15475362,"Zimbabwe","ZWE"
