"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,8878054,"Panama","PAN"
1,10,1641027,"Panama","PAN"
1,11,196606,"Panama","PAN"
1,12,308050,"Panama","PAN"
1,13,286554,"Panama","PAN"
1,2,689288,"Panama","PAN"
1,3,230141,"Panama","PAN"
1,4,215721,"Panama","PAN"
1,5,395438,"Panama","PAN"
1,7,179549,"Panama","PAN"
1,8,334321,"Panama","PAN"
1,9,171196,"Panama","PAN"
10,1,1641027,"Panama","PAN"
10,10,5962788,"Panama","PAN"
10,11,160207,"Panama","PAN"
10,12,336668,"Panama","PAN"
10,13,472789,"Panama","PAN"
10,2,830823,"Panama","PAN"
10,3,226174,"Panama","PAN"
10,4,135406,"Panama","PAN"
10,5,548645,"Panama","PAN"
10,7,152183,"Panama","PAN"
10,8,426095,"Panama","PAN"
10,9,153168,"Panama","PAN"
11,1,196606,"Panama","PAN"
11,10,160207,"Panama","PAN"
11,11,713859,"Panama","PAN"
11,12,277998,"Panama","PAN"
11,13,185455,"Panama","PAN"
11,2,190511,"Panama","PAN"
11,3,237894,"Panama","PAN"
11,4,211629,"Panama","PAN"
11,5,237129,"Panama","PAN"
11,7,253254,"Panama","PAN"
11,8,307428,"Panama","PAN"
11,9,296656,"Panama","PAN"
12,1,308050,"Panama","PAN"
12,10,336668,"Panama","PAN"
12,11,277998,"Panama","PAN"
12,12,375753,"Panama","PAN"
12,13,227430,"Panama","PAN"
12,2,222137,"Panama","PAN"
12,3,278579,"Panama","PAN"
12,4,289751,"Panama","PAN"
12,5,426641,"Panama","PAN"
12,7,277430,"Panama","PAN"
12,8,303843,"Panama","PAN"
12,9,327136,"Panama","PAN"
13,1,286554,"Panama","PAN"
13,10,472789,"Panama","PAN"
13,11,185455,"Panama","PAN"
13,12,227430,"Panama","PAN"
13,13,4554067,"Panama","PAN"
13,2,259882,"Panama","PAN"
13,3,528915,"Panama","PAN"
13,4,150628,"Panama","PAN"
13,5,324870,"Panama","PAN"
13,7,558324,"Panama","PAN"
13,8,154307,"Panama","PAN"
13,9,405860,"Panama","PAN"
2,1,689288,"Panama","PAN"
2,10,830823,"Panama","PAN"
2,11,190511,"Panama","PAN"
2,12,222137,"Panama","PAN"
2,13,259882,"Panama","PAN"
2,2,2757909,"Panama","PAN"
2,3,225435,"Panama","PAN"
2,4,143939,"Panama","PAN"
2,5,271233,"Panama","PAN"
2,7,216598,"Panama","PAN"
2,8,110931,"Panama","PAN"
2,9,222151,"Panama","PAN"
3,1,230141,"Panama","PAN"
3,10,226174,"Panama","PAN"
3,11,237894,"Panama","PAN"
3,12,278579,"Panama","PAN"
3,13,528915,"Panama","PAN"
3,2,225435,"Panama","PAN"
3,3,4420686,"Panama","PAN"
3,4,203187,"Panama","PAN"
3,5,254704,"Panama","PAN"
3,7,471944,"Panama","PAN"
3,8,112770,"Panama","PAN"
3,9,390194,"Panama","PAN"
4,1,215721,"Panama","PAN"
4,10,135406,"Panama","PAN"
4,11,211629,"Panama","PAN"
4,12,289751,"Panama","PAN"
4,13,150628,"Panama","PAN"
4,2,143939,"Panama","PAN"
4,3,203187,"Panama","PAN"
4,4,5627297,"Panama","PAN"
4,5,202954,"Panama","PAN"
4,7,136623,"Panama","PAN"
4,8,213779,"Panama","PAN"
4,9,147462,"Panama","PAN"
5,1,395438,"Panama","PAN"
5,10,548645,"Panama","PAN"
5,11,237129,"Panama","PAN"
5,12,426641,"Panama","PAN"
5,13,324870,"Panama","PAN"
5,2,271233,"Panama","PAN"
5,3,254704,"Panama","PAN"
5,4,202954,"Panama","PAN"
5,5,19363148,"Panama","PAN"
5,7,379888,"Panama","PAN"
5,8,4880313,"Panama","PAN"
5,9,472539,"Panama","PAN"
7,1,179549,"Panama","PAN"
7,10,152183,"Panama","PAN"
7,11,253254,"Panama","PAN"
7,12,277430,"Panama","PAN"
7,13,558324,"Panama","PAN"
7,2,216598,"Panama","PAN"
7,3,471944,"Panama","PAN"
7,4,136623,"Panama","PAN"
7,5,379888,"Panama","PAN"
7,7,9798698,"Panama","PAN"
7,8,160351,"Panama","PAN"
7,9,3316143,"Panama","PAN"
8,1,334321,"Panama","PAN"
8,10,426095,"Panama","PAN"
8,11,307428,"Panama","PAN"
8,12,303843,"Panama","PAN"
8,13,154307,"Panama","PAN"
8,2,110931,"Panama","PAN"
8,3,112770,"Panama","PAN"
8,4,213779,"Panama","PAN"
8,5,4880313,"Panama","PAN"
8,7,160351,"Panama","PAN"
8,8,10395193,"Panama","PAN"
8,9,128319,"Panama","PAN"
9,1,171196,"Panama","PAN"
9,10,153168,"Panama","PAN"
9,11,296656,"Panama","PAN"
9,12,327136,"Panama","PAN"
9,13,405860,"Panama","PAN"
9,2,222151,"Panama","PAN"
9,3,390194,"Panama","PAN"
9,4,147462,"Panama","PAN"
9,5,472539,"Panama","PAN"
9,7,3316143,"Panama","PAN"
9,8,128319,"Panama","PAN"
9,9,14564287,"Panama","PAN"
