"nodeID_from","nodeID_to","weight","country_name","country_ISO3"
1,1,418907,"Senegal","SEN"
1,10,262478,"Senegal","SEN"
1,11,236936,"Senegal","SEN"
1,12,169904,"Senegal","SEN"
1,13,246955,"Senegal","SEN"
1,14,214387,"Senegal","SEN"
1,2,224629,"Senegal","SEN"
1,3,313603,"Senegal","SEN"
1,4,111356,"Senegal","SEN"
1,5,245036,"Senegal","SEN"
1,6,157539,"Senegal","SEN"
1,7,191453,"Senegal","SEN"
1,8,226073,"Senegal","SEN"
1,9,287863,"Senegal","SEN"
10,1,262478,"Senegal","SEN"
10,10,20522798,"Senegal","SEN"
10,11,129568,"Senegal","SEN"
10,12,155148,"Senegal","SEN"
10,13,160853,"Senegal","SEN"
10,14,1193022,"Senegal","SEN"
10,2,82272,"Senegal","SEN"
10,3,173566,"Senegal","SEN"
10,4,92397,"Senegal","SEN"
10,5,146195,"Senegal","SEN"
10,6,127269,"Senegal","SEN"
10,7,666647,"Senegal","SEN"
10,8,80919,"Senegal","SEN"
10,9,89534,"Senegal","SEN"
11,1,236936,"Senegal","SEN"
11,10,129568,"Senegal","SEN"
11,11,4324304,"Senegal","SEN"
11,12,130068,"Senegal","SEN"
11,13,233446,"Senegal","SEN"
11,14,135960,"Senegal","SEN"
11,2,165722,"Senegal","SEN"
11,3,188925,"Senegal","SEN"
11,4,69017,"Senegal","SEN"
11,5,201091,"Senegal","SEN"
11,6,128735,"Senegal","SEN"
11,7,125260,"Senegal","SEN"
11,8,319017,"Senegal","SEN"
11,9,318211,"Senegal","SEN"
12,1,169904,"Senegal","SEN"
12,10,155148,"Senegal","SEN"
12,11,130068,"Senegal","SEN"
12,12,6892203,"Senegal","SEN"
12,13,145822,"Senegal","SEN"
12,14,149503,"Senegal","SEN"
12,2,142527,"Senegal","SEN"
12,3,160825,"Senegal","SEN"
12,4,733757,"Senegal","SEN"
12,5,323754,"Senegal","SEN"
12,6,135127,"Senegal","SEN"
12,7,252488,"Senegal","SEN"
12,8,111692,"Senegal","SEN"
12,9,227683,"Senegal","SEN"
13,1,246955,"Senegal","SEN"
13,10,160853,"Senegal","SEN"
13,11,233446,"Senegal","SEN"
13,12,145822,"Senegal","SEN"
13,13,1659468,"Senegal","SEN"
13,14,162754,"Senegal","SEN"
13,2,244666,"Senegal","SEN"
13,3,286406,"Senegal","SEN"
13,4,87341,"Senegal","SEN"
13,5,237886,"Senegal","SEN"
13,6,152806,"Senegal","SEN"
13,7,131192,"Senegal","SEN"
13,8,241352,"Senegal","SEN"
13,9,148906,"Senegal","SEN"
14,1,214387,"Senegal","SEN"
14,10,1193022,"Senegal","SEN"
14,11,135960,"Senegal","SEN"
14,12,149503,"Senegal","SEN"
14,13,162754,"Senegal","SEN"
14,14,3748104,"Senegal","SEN"
14,2,96212,"Senegal","SEN"
14,3,208377,"Senegal","SEN"
14,4,90551,"Senegal","SEN"
14,5,162116,"Senegal","SEN"
14,6,116396,"Senegal","SEN"
14,7,368855,"Senegal","SEN"
14,8,91627,"Senegal","SEN"
14,9,103301,"Senegal","SEN"
2,1,224629,"Senegal","SEN"
2,10,82272,"Senegal","SEN"
2,11,165722,"Senegal","SEN"
2,12,142527,"Senegal","SEN"
2,13,244666,"Senegal","SEN"
2,14,96212,"Senegal","SEN"
2,2,2862845,"Senegal","SEN"
2,3,228179,"Senegal","SEN"
2,4,74656,"Senegal","SEN"
2,5,255689,"Senegal","SEN"
2,6,184219,"Senegal","SEN"
2,7,88718,"Senegal","SEN"
2,8,374217,"Senegal","SEN"
2,9,121363,"Senegal","SEN"
3,1,313603,"Senegal","SEN"
3,10,173566,"Senegal","SEN"
3,11,188925,"Senegal","SEN"
3,12,160825,"Senegal","SEN"
3,13,286406,"Senegal","SEN"
3,14,208377,"Senegal","SEN"
3,2,228179,"Senegal","SEN"
3,3,10848214,"Senegal","SEN"
3,4,103327,"Senegal","SEN"
3,5,310025,"Senegal","SEN"
3,6,391875,"Senegal","SEN"
3,7,131285,"Senegal","SEN"
3,8,146386,"Senegal","SEN"
3,9,128299,"Senegal","SEN"
4,1,111356,"Senegal","SEN"
4,10,92397,"Senegal","SEN"
4,11,69017,"Senegal","SEN"
4,12,733757,"Senegal","SEN"
4,13,87341,"Senegal","SEN"
4,14,90551,"Senegal","SEN"
4,2,74656,"Senegal","SEN"
4,3,103327,"Senegal","SEN"
4,4,11798585,"Senegal","SEN"
4,5,127871,"Senegal","SEN"
4,6,123403,"Senegal","SEN"
4,7,152445,"Senegal","SEN"
4,8,58961,"Senegal","SEN"
4,9,69838,"Senegal","SEN"
5,1,245036,"Senegal","SEN"
5,10,146195,"Senegal","SEN"
5,11,201091,"Senegal","SEN"
5,12,323754,"Senegal","SEN"
5,13,237886,"Senegal","SEN"
5,14,162116,"Senegal","SEN"
5,2,255689,"Senegal","SEN"
5,3,310025,"Senegal","SEN"
5,4,127871,"Senegal","SEN"
5,5,24320209,"Senegal","SEN"
5,6,455057,"Senegal","SEN"
5,7,148962,"Senegal","SEN"
5,8,217837,"Senegal","SEN"
5,9,148803,"Senegal","SEN"
6,1,157539,"Senegal","SEN"
6,10,127269,"Senegal","SEN"
6,11,128735,"Senegal","SEN"
6,12,135127,"Senegal","SEN"
6,13,152806,"Senegal","SEN"
6,14,116396,"Senegal","SEN"
6,2,184219,"Senegal","SEN"
6,3,391875,"Senegal","SEN"
6,4,123403,"Senegal","SEN"
6,5,455057,"Senegal","SEN"
6,6,1377730,"Senegal","SEN"
6,7,116607,"Senegal","SEN"
6,8,140817,"Senegal","SEN"
6,9,111589,"Senegal","SEN"
7,1,191453,"Senegal","SEN"
7,10,666647,"Senegal","SEN"
7,11,125260,"Senegal","SEN"
7,12,252488,"Senegal","SEN"
7,13,131192,"Senegal","SEN"
7,14,368855,"Senegal","SEN"
7,2,88718,"Senegal","SEN"
7,3,131285,"Senegal","SEN"
7,4,152445,"Senegal","SEN"
7,5,148962,"Senegal","SEN"
7,6,116607,"Senegal","SEN"
7,7,8544886,"Senegal","SEN"
7,8,82598,"Senegal","SEN"
7,9,156298,"Senegal","SEN"
8,1,226073,"Senegal","SEN"
8,10,80919,"Senegal","SEN"
8,11,319017,"Senegal","SEN"
8,12,111692,"Senegal","SEN"
8,13,241352,"Senegal","SEN"
8,14,91627,"Senegal","SEN"
8,2,374217,"Senegal","SEN"
8,3,146386,"Senegal","SEN"
8,4,58961,"Senegal","SEN"
8,5,217837,"Senegal","SEN"
8,6,140817,"Senegal","SEN"
8,7,82598,"Senegal","SEN"
8,8,5723272,"Senegal","SEN"
8,9,145992,"Senegal","SEN"
9,1,287863,"Senegal","SEN"
9,10,89534,"Senegal","SEN"
9,11,318211,"Senegal","SEN"
9,12,227683,"Senegal","SEN"
9,13,148906,"Senegal","SEN"
9,14,103301,"Senegal","SEN"
9,2,121363,"Senegal","SEN"
9,3,128299,"Senegal","SEN"
9,4,69838,"Senegal","SEN"
9,5,148803,"Senegal","SEN"
9,6,111589,"Senegal","SEN"
9,7,156298,"Senegal","SEN"
9,8,145992,"Senegal","SEN"
9,9,11540982,"Senegal","SEN"
